Название,Категория,Цена,Единица,Старая цена,Хит,Наличие,Эмодзи
Бананы,Овощи и фрукты,79,кг,129,да,да,🍌
Яблоки Голден,Овощи и фрукты,149,кг,,да,да,🍎
Помидоры,Овощи и фрукты,199,кг,,,да,🍅
Огурцы,Овощи и фрукты,169,кг,,,да,🥒
Картофель,Овощи и фрукты,45,кг,,,да,🥔
Авокадо,Овощи и фрукты,99,шт,,,да,🥑
Молоко 3.2%,Молочное,59,1 л,89,да,да,🥛
Сыр Российский,Молочное,289,300 г,,да,да,🧀
Масло сливочное,Молочное,179,180 г,,,да,🧈
Яйца C1,Молочное,89,10 шт,109,да,да,🥚
Хлеб белый,Хлеб и выпечка,49,шт,,да,да,🍞
Багет,Хлеб и выпечка,65,шт,,,да,🥖
Круассан,Хлеб и выпечка,79,шт,,,да,🥐
Филе куриное,Мясо и птица,349,кг,,да,да,🍗
Говядина,Мясо и птица,649,кг,,,да,🥩
Бекон,Мясо и птица,259,200 г,,,да,🥓
Вода питьевая,Напитки,39,1.5 л,,да,да,💧
Сок апельсиновый,Напитки,119,1 л,,,да,🧃
Кола,Напитки,99,1 л,,,да,🥤
Кофе молотый,Напитки,399,250 г,,,да,☕
Рис,Бакалея,129,900 г,,,да,🍚
Макароны,Бакалея,89,450 г,,,да,🍝
Сахар,Бакалея,79,1 кг,,,да,🧂
Масло подсолнечное,Бакалея,149,1 л,,,да,🫒
Чипсы,Снеки,99,150 г,,,да,🍟
Шоколад,Снеки,89,90 г,,,да,🍫
Печенье,Снеки,119,300 г,,,да,🍪
Орехи микс,Снеки,199,200 г,,,да,🥜
